TGFB1,Immune141_UP
PSTPIP1,Immune141_UP
CST7,Immune141_UP
RGS1,Immune141_UP
FGR,Immune141_UP
SELL,Immune141_UP
MICAL1,Immune141_UP
TRAF3IP3,Immune141_UP
ITGA4,Immune141_UP
MAFB,Immune141_UP
ARHGDIB,Immune141_UP
IL4R,Immune141_UP
RHOH,Immune141_UP
HLA-DPA1,Immune141_UP
NKG7,Immune141_UP
NCF4,Immune141_UP
LPXN,Immune141_UP
ITK,Immune141_UP
SELPLG,Immune141_UP
HLA-DPB1,Immune141_UP
CD3D,Immune141_UP
CD300A,Immune141_UP
IL2RB,Immune141_UP
ADCY7,Immune141_UP
PTGER4,Immune141_UP
SRGN,Immune141_UP
CD247,Immune141_UP
CCR7,Immune141_UP
MSN,Immune141_UP
ALOX5AP,Immune141_UP
PTGER2,Immune141_UP
RAC2,Immune141_UP
GBP2,Immune141_UP
VAV1,Immune141_UP
CLEC2B,Immune141_UP
P2RY14,Immune141_UP
NFKBIA,Immune141_UP
S100A9,Immune141_UP
IFI30,Immune141_UP
MFSD1,Immune141_UP
RASSF2,Immune141_UP
TPP1,Immune141_UP
RHOG,Immune141_UP
CLEC4A,Immune141_UP
GZMB,Immune141_UP
PVRIG,Immune141_UP
S100A8,Immune141_UP
CASP1,Immune141_UP
BCL2A1,Immune141_UP
HLA-E,Immune141_UP
KLRB1,Immune141_UP
GNLY,Immune141_UP
RAB27A,Immune141_UP
IL18RAP,Immune141_UP
TPST2,Immune141_UP
EMP3,Immune141_UP
GMIP,Immune141_UP
LCK,Immune141_UP
IL32,Immune141_UP
PTPRCAP,Immune141_UP
LGALS9,Immune141_UP
CCDC69,Immune141_UP
SAMHD1,Immune141_UP
TAP1,Immune141_UP
GBP1,Immune141_UP
CTSS,Immune141_UP
GZMH,Immune141_UP
ADAM8,Immune141_UP
GLRX,Immune141_UP
PRF1,Immune141_UP
CD69,Immune141_UP
HLA-B,Immune141_UP
HLA-DMA,Immune141_UP
CD74,Immune141_UP
KLRK1,Immune141_UP
PTPRE,Immune141_UP
HLA-DRA,Immune141_UP
VNN2,Immune141_UP
TCIRG1,Immune141_UP
RABGAP1L,Immune141_UP
CSTA,Immune141_UP
ZAP70,Immune141_UP
HLA-F,Immune141_UP
HLA-G,Immune141_UP
CD52,Immune141_UP
CD302,Immune141_UP
CD27,Immune141_UP
